 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  C- C- H- H- H- H

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    016.67    042.81   
      C      6    016.67    042.81   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 650.00 MeV   2.289E-03  4.425E-07    1.77 m     67.60 mm    31.39 mm  
 700.00 MeV   2.232E-03  4.129E-07    1.98 m     73.85 mm    34.65 mm  
 800.00 MeV   2.142E-03  3.646E-07    2.41 m     95.90 mm    41.19 mm  
 900.00 MeV   2.075E-03  3.267E-07    2.86 m    115.00 mm    47.75 mm  
   1.00 GeV   2.023E-03  2.961E-07    3.31 m    132.27 mm    54.27 mm  
   1.10 GeV   1.984E-03  2.709E-07    3.78 m    148.20 mm    60.72 mm  
   1.20 GeV   1.952E-03  2.497E-07    4.26 m    163.09 mm    67.10 mm  
   1.30 GeV   1.927E-03  2.317E-07    4.75 m    177.12 mm    73.39 mm  
   1.40 GeV   1.907E-03  2.162E-07    5.24 m    190.43 mm    79.58 mm  
   1.50 GeV   1.891E-03  2.027E-07    5.73 m    203.10 mm    85.66 mm  
   1.60 GeV   1.878E-03  1.908E-07    6.23 m    215.21 mm    91.64 mm  
   1.70 GeV   1.867E-03  1.803E-07    6.73 m    226.83 mm    97.51 mm  
   1.80 GeV   1.859E-03  1.709E-07    7.24 m    237.99 mm   103.28 mm  
   2.00 GeV   1.846E-03  1.549E-07    8.25 m    278.28 mm   114.49 mm  
   2.25 GeV   1.838E-03  1.387E-07    9.53 m    332.07 mm   127.94 mm  
   2.50 GeV   1.833E-03  1.256E-07   10.81 m    378.60 mm   140.80 mm  
   2.75 GeV   1.832E-03  1.149E-07   12.09 m    420.14 mm   153.11 mm  
   3.00 GeV   1.834E-03  1.059E-07   13.38 m    457.93 mm   164.91 mm  
   3.25 GeV   1.836E-03  9.824E-08   14.66 m    492.76 mm   176.24 mm  
   3.50 GeV   1.840E-03  9.164E-08   15.94 m    525.19 mm   187.14 mm  
   3.75 GeV   1.845E-03  8.589E-08   17.21 m    555.60 mm   197.65 mm  
   4.00 GeV   1.850E-03  8.084E-08   18.49 m    584.29 mm   207.79 mm  
   4.50 GeV   1.861E-03  7.237E-08   21.02 m    685.91 mm   227.07 mm  
   5.00 GeV   1.872E-03  6.555E-08   23.54 m    773.31 mm   245.19 mm  
   5.50 GeV   1.884E-03  5.993E-08   26.04 m    850.87 mm   262.28 mm  
   6.00 GeV   1.896E-03  5.522E-08   28.53 m    921.10 mm   278.48 mm  
   6.50 GeV   1.907E-03  5.122E-08   31.01 m    985.58 mm   293.88 mm  
   7.00 GeV   1.918E-03  4.777E-08   33.46 m      1.05 m    308.58 mm  
   8.00 GeV   1.939E-03  4.212E-08   38.34 m      1.25 m    336.15 mm  
   9.00 GeV   1.959E-03  3.770E-08   43.17 m      1.43 m    361.63 mm  
  10.00 GeV   1.978E-03  3.414E-08   47.94 m      1.58 m    385.37 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0630E+01                 eV / Angstrom 
  1.0630E+02                keV / micron   
  1.0630E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  8.8772E+00                 eV / (1E15 atoms/cm2)
  4.2423E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

